Hope(S1),Joy(S2),Surprise(S3),Anticipation(S4),Sadness(S5),Fear(S6),Anger(S7),Disgust(S8),Disgust-Joy(F1) ,Disgust-Hope(F2),Disgust-Anti(F3) ,Disgust-Surprise(F4),Anger-Joy(F5),Anger-Hope(F6),Anger-Anti(F7),Anger-Surprise(F8) ,Fear-Joy(F9),Fear-Hope(F10) ,Fear-Anti(F11),Fear-Surprise(F12) ,Sadness-Joy(F13),Sadness-Hope(F14) ,Sad-Anti(F15) ,Sadness-Surprise(F16),Positive(Joy+Hope) F17,Negative(Dis+Anger+Fear+Sad) F18,Neutral(Anti+Surprise) F19,LABEL
76366,91725,77221,99577,79545,84535,81631,81008,4642,10717,3787,18569,5265,10094,4410,17946,8169,7190,7314,15042,3179,12180,2324,20032,168091,326719,176798,1
136335,130458,129792,145201,129558,130211,128673,264213,127878,133755,134421,119012,7662,1785,1119,16528,6124,247,419,14990,6777,900,234,15643,266793,652655,274993,1
287201,312936,275357,312176,286017,293564,289012,292942,5741,19994,17585,19234,1811,23924,13655,23164,6363,19372,18207,18612,1184,26919,10660,26159,600137,1161535,587533,1
190949,214650,189708,262620,171177,184499,162276,202919,11970,11731,13211,59701,28673,52374,27432,100344,6450,30151,5209,78121,19772,43473,18531,91443,405599,720871,452328,1
28661,25644,31388,29766,29990,29711,37344,49552,20891,23908,18164,19786,8683,11700,5956,7578,1050,4067,1677,55,1329,4346,1398,224,54305,146597,61154,1
110079,122361,110498,118877,115697,117356,115307,171519,61440,49158,61021,52642,5228,7054,4809,3570,7277,5005,6858,1521,5618,6664,5199,3180,232440,519879,229375,1
132096,142659,142249,111920,135209,153153,141159,205902,73806,63243,63653,93982,9063,1500,1090,29239,21057,10494,10904,41233,3113,7450,7040,23289,274755,635423,254169,1
46695,44244,42453,62182,39054,41296,37996,42754,3941,1490,301,19428,8699,6248,4457,24186,5399,2948,1157,20886,7641,5190,3399,23128,90939,161100,104635,1
69676,79031,66752,67809,70038,72820,63153,110862,41186,31831,44110,43053,6523,15878,3599,4656,3144,6211,6068,5011,362,8993,3286,2229,148707,316873,134561,1
185250,189431,181742,206961,183387,189248,187963,222033,36783,32602,40291,15072,2713,1468,6221,18998,3998,183,7506,17713,1863,6044,1645,23574,374681,782631,388703,1
35219,37292,33773,56111,36349,34072,32147,57937,22718,20645,24164,1826,3072,5145,1626,23964,1147,3220,299,22039,1130,943,2576,19762,72511,160505,89884,1
101099,96223,97806,118955,120749,110645,104370,151270,50171,55047,53464,32315,3271,8147,6564,14585,9546,14422,12839,8310,19650,24526,22943,1794,197322,487034,216761,1
197546,192033,193297,207925,190560,195588,192697,232077,34531,40044,38780,24152,4849,664,600,15228,1958,3555,2291,12337,6986,1473,2737,17365,389579,810922,401222,1
141455,156097,144580,156603,146222,147102,148833,118319,23136,37778,26261,38284,7378,7264,4253,7770,5647,8995,2522,9501,4767,9875,1642,10381,297552,560476,301183,1
99231,121295,114358,122249,108351,113858,106455,130804,31573,9509,16446,8555,7224,14840,7903,15794,14627,7437,500,8391,9120,12944,6007,13898,220526,459468,236607,1
225732,223183,227240,257427,244653,248500,257409,272575,46843,49392,45335,15148,31677,34226,30169,18,22768,25317,21260,8927,18921,21470,17413,12774,448915,1023137,484667,1
181031,166878,175967,185865,194540,193603,194078,190456,9425,23578,14489,4591,13047,27200,18111,8213,12572,26725,17636,7738,13509,27662,18573,8675,347909,772677,361832,1
149675,138584,136688,208400,146380,143141,161985,382649,232974,244065,245961,174249,12310,23401,25297,46415,6534,4557,6453,65259,3295,7796,9692,62020,288259,834155,345088,1
204982,199403,199455,207656,201517,201893,203473,236393,31411,36990,36938,28737,1509,4070,4018,4183,3089,2490,2438,5763,3465,2114,2062,6139,404385,843276,407111,1
27162,29566,23271,43323,31081,29047,26476,49261,22099,19695,25990,5938,686,3090,3205,16847,1885,519,5776,14276,3919,1515,7810,12242,56728,135865,66594,1
133062,130733,130129,126342,141522,139026,143071,204109,71047,73376,73980,77767,10009,12338,12942,16729,5964,8293,8897,12684,8460,10789,11393,15180,263795,627728,256471,1
159284,185736,171137,211348,167284,178781,169464,328166,168882,142430,157029,116818,10180,16272,1673,41884,19497,6955,7644,32567,8000,18452,3853,44064,345020,843695,382485,1
207325,220178,191713,220629,208003,210475,207309,216861,9536,3317,25148,3768,16,12869,15596,13320,3150,9703,18762,10154,678,12175,16290,12626,427503,842648,412342,1
102365,114910,108031,107571,115129,120546,115794,108153,5788,6757,122,582,13429,884,7763,8223,18181,5636,12515,12975,12764,219,7098,7558,217275,459622,215602,1
75251,63807,59430,87975,60713,63499,66399,71680,3571,7873,12250,16295,8852,2592,6969,21576,11752,308,4069,24476,14538,3094,1283,27262,139058,262291,147405,1
168980,198439,180890,177952,190489,187071,181803,222787,53807,24348,41897,44835,12823,16636,913,3851,18091,11368,6181,9119,21509,7950,9599,12537,367419,782150,358842,1
235650,241992,236771,281151,232197,241984,241289,261515,25865,19523,24744,19636,5639,703,4518,39862,6334,8,5213,39167,3453,9795,4574,48954,477642,976985,517922,1
25771,30923,29165,44056,24814,25516,23657,37688,11917,6765,8523,6368,2114,7266,5508,20399,255,5407,3649,18540,957,6109,4351,19242,56694,111675,73221,1
103367,111002,107549,93383,116589,113207,113975,77277,26090,33725,30272,16106,10608,2973,6426,20592,9840,2205,5658,19824,13222,5587,9040,23206,214369,421048,200932,1
173538,194381,178693,219677,174201,181020,168982,208133,34595,13752,29440,11544,4556,25399,9711,50695,7482,13361,2327,38657,663,20180,4492,45476,367919,732336,398370,1
129668,134240,113166,149237,128591,133123,128670,155811,26143,21571,42645,6574,998,5570,15504,20567,3455,1117,19957,16114,1077,5649,15425,20646,263908,546195,262403,1
121743,132627,124842,138010,146106,142834,147214,132594,10851,33,7752,5416,25471,14587,22372,9204,21091,10207,17992,4824,24363,13479,21264,8096,254370,568748,262852,1
84482,92487,82476,145350,86416,81366,79461,122425,37943,29938,39949,22925,5021,13026,3015,65889,3116,11121,1110,63984,1934,6071,3940,58934,176969,369668,227826,1
